npl_publn_id	npl_biblio
956450641	Williams et al., Implantable Biodegradable Polymers for IUdR Radiosensitization of Experimental Human Malignant Glioma, Journal of Neuro-Oncology 32:181-192 (1997).
956450642	Williams et al., Implantable Biodegradable Polymers for Radiosensitization of Human Glioma in Vivo, American Society for Therapeutic Radiation and Oncology: Abstract Annual Meeting 1997.
956450643	Williams et al., Implantable Biodegradable Polymers for IUdR Radiosensitization of Human Glioma in Vivo, American Society for Therapeutic Radiation and Oncology: Abstract Annual Meeting 1997.
956450644	Williams et al., Implantable Biodegradable Polymers for IUdR Radiosensitization of Human Malignant Glioma In Vivo, American Radium Society Abstract: Podium Presentation 1996 San Francisco.
956450645	Williams et al., Implantable Biodegradable Polymers for IUdR Radiosensitization of Human Malignant Glioma In Vivo, American Society for Clinical Oncology Annual Meeting 1995 Poster Presentation (Abstract).
956450646	Williams et al., Polymers for IUdR Radiosensitization of Experimental Glioblastoma, Congress of Neurological Surgeons Abstract: 1997.
956450647	Williams et al., Polymers for IUdR Radiosensitization of Experimental Glioblastoma, Society Neuro Oncology Abstract: Post Nov. 1997 Meeting.
956451384	Williams et al., Appl. Phys. Letts., 33, (1978), 542.
956451630	Williams and Jones, Specificity of Binding of Zona Pellucida Glycoproteins to Sperm Proacrosin and Related Proteins, The Journal of Experimental Zoology, 266:65 73, 1993.
956455447	Williams Electronic Document Management: The Coming Revolution in Records Management , IMC Journal, Fourth Quarter 1985, pp. 33 37.
956458101	Williams et al., International Review of Cytology, 153:41-103, 1994.*
956461451	Williams et al., (1990), Cell, 63, 167 174.
956466054	Williams et al., Hepatol. 5: 198 205, (1985).
956466055	Williams et al., Curr. Chemother, and Infectious Disease, Proc. 11th ICC and 19th ICAAC pp. 1724 2726 (1980).
956466090	Williams et al., J. Reticuloendothel. Soc. 23: 479 490 (1978), entitled Protective Effect of Glucan in Experimentally Induced Candidiasis .
956466097	Williams and DiLuzio, Science 208: 67 69 (1980), entitled Glucan Induced Modification of Murine Viral Hepatitis .
956466107	Williams and DiLuzio, in the Reticuloendothelial System and Pathogenesis of Liver Disease, Liehr and Grun, eds., Elsevier/North Holland Biomedical Press, pp. 363 368 (1980), entitled Modification of Experimental Viral Hepatitis by Glucan Induced Macrophage Activation .
956467648	Williams et al., Development of High Strength Zirconium Alloys , Canadian Metallurgical Quarterly, vol. 11, No. 1, 1972 (pp. 257 271).
956474632	Williams D F (1990) Effects of Fenoxycarb Baits on Laboratory Colonies of the Pharaohs Ant Monomorium Pharaonis. In Applied Myrmecology-A World Perspective '676-683. Ed Jaffe K. & Cedeno A Westview Press San Francisco & Oxford.
956480375	Williams D. J. Angew. Chem. Int. Ed. Engl. 23 690, 1984.
956482019	Williams et al, Nuclic Acids Res. 16:10453 10467 (1988).
956492212	Williams et al, A Study of the Sorption and Permeability of Gases and Vapors in Solvent-Drawn Polyethylene, Die Makromolekular Chemie 135, 41-47, (1970).
956494008	Williams et al. (1987) Protein Engineering 1:493 498, No. 6.
956494025	Williams et al. (Abstract).
956494072	Williams et al., Safety and Tolerability of Intravenous-to-Oral Treatment and Single-Dose Intravenous or Oral Prophylaxis with Trovafloxacin, Am. J. Surg., 1998, 74S-79S, vol. 176.
956500754	Williams et al., The Toluenedithiolate and Maleonitriledithiolate Square Matrix Systems, J. Am. Chem. Soc., 88(1): 43 50 (Jan. 5, 1966).
956501966	Williams et al., Chemical Abstracts, vol. 105, No. 24, Dec. 15, 1986, p. 323, No. 214067n.
956502487	Williams et al, Effect of Selective Screening for Gestational Diabetes, Diabetes Care, vol. 22, No. 3, pp. 418-421 (1999).
956507863	Williams et al. (May 1992) Bio/Technology 10:540 543.
956508179	Williams et al. The Zinc Finger-Associated SCAN Box is a Conserved Oligomerization Domain. vol. 19, No. 12, pp. 8526-8535; Dec. 1999.
956508569	Williams et al., The Mechanics of Foot Action During the Golf Swing and Implications for Shoe Design, Medicine and Science in Sports and Exercise, vol. 15, No. 3, pp. 247-255, 1983.
956510914	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal, vol. 8, pp. 804-813, Aug. 1994.
956535592	Williams et al., Introduction of New Genetic Material Into Pluripotent Haematopoietic Stem Cells of the Mouse Nature, 310:476 480 (1984).
956535601	Williams et al., Continuous Infusion of Nerve Growth Factor Prevents Basal Forebrain Neuronal Death After Fimbria Fornix Transection Proc. Natl. Acad. Sci USA 83:9231 9235 (1986).
956537743	Williams et al., The Theory of Error-Correcting Codes, Elsevier Science B.V., Amsterdam, The Netherlands (1977).
956540266	Williams et al., Monitoring Error Correcting Circuits , IBM Tech. Disc. Bulletin, vol. 10, No. 11, Apr. 68, pp. 1800 1801.
956544525	Williams et al., J. Cell. Biochem ., 9(b) (Suppl.), 99 (1985), Abstract No. 0656.
956552222	Williams and Comstock, An Analytical Model of the Write Process in Digital Magnetic Recording , 17th Annual AIP Conf. Proc., Part I, No. 5, 1971, pp. 738 742.
956552808	Williams et al., Polymers for IUdR Radiosensitization of Experimental Glioblastoma, Society Neuro Oncoloty Abstract: Post Nov. 1997 Meeting.
956552809	Williams et al., Implantable Biodegradable Polymers for IUdR Radiosensitization of Human Malignant Glioma In Vivo, American Radium Society Abstract: Podium Presentation 1996 San Francisco.
956552810	Williams et al., Implantable Biodegradable Polymers for IUdR Radiosensitization of Human Malignant Glioma In Vivo, American Society for Clinical Oncology Annual Meeting 1995 Poster Presentation (Abstract).
956552811	Williams et al., Polymers for IUdR Radiosensitization of Experimental Glioblastoma, Congress of Neurological Surgeons Abstract: 1997.
956552812	Williams et al. Implantable Biodegradable Polymers for Radiosensitization of Human Glioma in Vivo, American Society for Therapeutic Radiation and Oncology: Abstract Annual Meeting 1997.
956552813	Williams et al. Implantable Biodegradable Polymers for IUdR Radiosensitization of Human Glioma in Vivo, American Society for Therapeutic Radiation and Oncology: Abstract Annual Meeting 1997.
956552814	Williams et al., Controlled Release of Radiochemicals from Implantable Biodegradable Polymer Devices, Society Nuclear Medicine Abstract.
956552816	Williams et al., Implantable biodegradable polymers for IUdR radiosensitization of experimental human malignant glioma, Journal of Neuro-Oncology 32:181-192 (1997).
956552817	Williams et al. Combined intracranial iudr polymers and 125-l seets for radiosensitizatio of experimental malignant glioma brachytherapy, American Society for Therapeutic Radiation and Oncology Abstract Annual Meeting 1997.
956566262	Williams et al., <SUP>11</SUP>2-Substituted Piperazines as Constrained Amino Acids. Application to the Synthesis of Potent, Non Carboxylic Acid Inhibitors of Farnesyltransferase, J. Med. Chem., 39:1345-1348, 1996.
956567104	Williams et al, Structure-Activity Relationships of Carbocyclic Influenza Neuraminidase Inhibitors, 7(14):1837-1842, Bioorg Med Chem Lett, 1997.
956572860	Williams et al., <<The Mechanics of Foot Action During The GoldSwing and Implications for Shoe Design>>, Medicine and Science in Sports and Exercise, vol.15, No. 3, pp 247-255 1983.
956573314	Williams & Peoples, Biodegradable plastics from plants, Chemtech 26:38-44 (1996).
956580849	Williams & Peoples, Biodegradable plastics from plants, Chemtech 26:38-44 (1996).
956580850	Williams & Peoples, Making plastics green, Chem. Br. 33:29-32 (1997).
956599440	Williams et al., 1982, Science, 215: 687 689.
956600232	Williams et al., << The Mechanics of Foot Action During The GoldSwing and Implications for Shoe Design >>, Medicine and Science in Sports and Exercise, vol. 15, No. 3, pp. 247-255 1983.
956605502	Williams C.S. et al., Emissivity, Reflectance, Absorptance, Transmittance, Optics: A Short Course for Engineers & Scientists , pp. 31 35 (1984).
956606948	Williams et al. (Resolving combustible gas mixtures using gas sensitive resistors with arrays of electrodes, J. Chem. Soc., Faraday Trans., 1996, 92(22), 4497-4504).*
956609009	Williams et al. (1988) Myeloid Leukemia Inhibitory Factor Maintains the Developmental Potential of Embryonic Stem Cells , Nature 366, 684 687.
956621434	Williams et al., Six Degree of Freedom Mag-Lev Stage Development., SPIE, Jan. 1, 1997, vol. 3051, pp. 856-867.
956628736	Williams et al., Plant Physiol., 64, 1099-1103 (1979).
956629514	Williams and Schachter, (1980) J. Biol. Chem. 255:11247.
956629515	Williams et al (1980) J. Biol. Chem. 255:11253.
956630472	Williams et al., << The Mechanics of Foot Action During The GoldSwing and Implications for Shoe Design >>, Medicine and Science in Sports and Exercise, vol. 15, No. 3, pp 247-255 1983.
956634786	Williams et al., Biochemical Pharm. , 29, 589 595 (1980).
956635855	Williams et al., Cancer Genetics and Cytogenetics 85:143-152 (Dec. 1995).
956636448	Williams et al, (1990), DNA polymorphisms amplified by arbitrary primers are useful as genetic markers , Nucleic Acids Res. 18(22):6531 6535.
956637952	Williams et al, A Visual Language for Image Processing , IEEE, Oct. 1990, pp. 86 91.
956641103	Williams and Szalay, Gene (1983) 24:37 51.
956658304	Williams et al., The Immunoglobulin Superfamily Domains For Cell Surface Recognition 1,2 , Ann. Rev. Immunol. , 6:381 405 (1988).
956659161	Williams et al. Journal of Biological Chemistry 265(33):20673 7, 1990.
956663036	Williams et al., Organization of Wing Formation and Induction of a Wing-Patterning Gene at the Dorsal/Ventral Compartment Boundary, Nature (1994) 368:299-305.
956668913	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal, vol. 8, pp. 804-813, Aug. 1994.
956669068	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal, vol. 8, pp. 804-813, Aug. 1994.
956669155	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal, vol. 8, pp. 804-813, Aug. 1994.
956669285	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal, vol. 8, pp. 804-813, Aug. 1994.
956669375	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal,vol. 8, pp. 804-813, Aug. 1994.
956676044	Williams et al. (1984) Registration of Mp705, Mp706, and Mp707 germplasm lines of maize, p. 1217. Crop Science, vol. 24 (6), Nov. Dec.
956681048	Williams and Neuberger, Gene 43:319 324 (1986).
956692379	Williams et al., (1990), DNA polymorphisms amplified by arbitrary primers are useful as genetic markers, Nucleic Acids Res. 18:6531-6535.
956697819	Williams et al., (1990), DNA polymorphisms amplified by arbitrary primers are useful as genetic markers, Nucleic Acids Res. 18:6531-6535.
956711024	Williams et al., Chemical Compatibility of High Temperature Superconductors with Other Materials , Chemistry of High Temperature Superconductors II, pp. 291 302, American Chemical Society, Washington, D.C. (1988).
956715623	Williams et al., Selective Strand Scission by Intercalating Drugs at DNA Bulges, Biochemistry 27:3004-3011 1988.
956719431	Williams et al., Regulation Of Nuclear And Mitochondrial Gene Expression by Contractile Activity In Skeletal Muscle, The Journal Of Biological Chemistry 261(1): 376-380, 1986.
956732547	Williams et al., Regulation Of Nuclear And Mitochondrial Gene Expression by Contractile Activity In Skeletal Muscle, The Journal Of Biological Chemistry 261 (1):376 380, 1986.
956732942	Williams et al., Implants in Surgery, (1973), pp. 89-94, Saunders, Phila.
956733745	Williams et al., Am. Rev. Respir. Dis. 1991; 144; pp. 875-883.
956737590	Williams et al., Curr Eye Res 2: 465 470 (1982).
956737591	Williams et al., Exp Eye Res 39: 261 265 (1984).
956737592	Williams et al., Exp Eye Res 42: 211 218 (1986).
956747833	Williams et al., Radiology, vol. 161, p. 315 (1986).
956749686	Williams & Warwick, Gray s Anatomy, (36th Edition 1980). pp. 1267 1231.
956750700	Williams et al. (1991) J. Biol. Chem., vol. 266, No. 8, pp. 5182-5190.
956753770	Williams & Chase, Methods in Immunology and Immunochemistry, 34 39 (1967).
956754681	Williams et al., Introduction of foreign genes into tissues of living mice by DNA-coated microprojectiles, PNAS USA, 88:2726-29 (1991).
956756116	Williams et al., Activation of the FGF Receptor Underlies Neurite Outgrowth Stimulated by L1, N-CAM, and N-Cadherin, Neuron 13: 583-594, 1994.
956757391	Williams et al., 1998, Mechanisms of Development 73:225-229.
956763758	Williams et al., Transgenic animals in integrative biology: approaches and interpretations of outcome. J Appl. Physiol, 88: 119-1126, 2000.
956769427	Williams et al. abstract, The Localisation of Enteral Tubes Using a Novel Non Radiological Technique, British Society of Gastroenterology (Mar. 1992).
956769458	Williams et al., Sequence and evolution of the human germline Vlambda repertoire, Journal of Molecular Biology, 264:220-232 (1996).
956769780	Williams et al., Introduction of Foreign Genes Into Tissues of Living Mice by DNA-coated Microprojectiles, Proc. Natl. Acad. Sci. U.S.A. 88:2726-2730 [1991].
956800040	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal, vol. 8, pp. 804-813, Aug. 1994.
956800118	Williams et al., Two-Photon Molecular Excitation Provides Intrinsic 3-Dimensional Resolution for Laser-based Microscopy and Microphotochemistry, FASEB Journal, vol. 8, pp. 804-813, Aug. 1994.
956807979	Williams et al., Occlusive Arterial Thrombosis in Cynomolgus Monkeys with Varying Plasma Concentrations of Lipoprotein(a), Atheroscler. Thromb. 13:548 554 (1993).
956811705	Williams et al., The immunoglobulin superfamily, in Immunoglobulin Genes, Chap. 19, pp. 361-387, Academic Press (Honjo, Alt and Rabbits, Eds. 1989).
956813250	Williams et al., Glycyl L Histidyl L Lysine, a Growth Promoting Factor for Human Cells, Cytobios., 27(105), pp. 19 25, 1980, (Cited in Chem. Abstracts, vol. 94:25451b, 1981).
956829517	Williams et al., Scanning Capacitance Microscopy on a 25 nm Scale , Appl. Phys. Lett. 52(2):203 205 (1989) Month unavailable.
956833179	Williams (1992) Structure and functional expression of 1 , 2 and subunits of a novel human neuronal calcium channel subtype, Neuron, 8:71 84.
956833213	Williams et al., Structure and Functioal Expression of an Conotoxin Sensitive Human N Type Calcium Channel , Science 257:389 395 (1992).
956834976	Williams et al., Clin Sci (Lond). , 1988, vol. 74, No. 5, Abstract.
956835622	Williams et al, Introduction of foreign genes into tissues of living mice by DNA-coated microprojectiles, Genetics (1991), pp. 2726-2730.
956835814	Williams et al., Ann. Rev. Immunol., 6: 381 405 (1988).
956835903	Williams et al., Ann. Rev. Immunol., 6: 381-405 (1988).
956837555	Williams et al., Proc. Natl. Acad. Sci. USA 88:2726-2730 [1991].
956837938	Williams et al., Effect of Plasminogen Activator Inhibitor Type 2 (PAI 2) on Neovascularization , Association for Research in Vision and Ophthalmology, Annual Meeting Abstracts, Paper 1942 published in Invest. Ophthalmol. & Visual Science, vol. 33 (1992).
956839096	Williams et al., Ann. Rev. Immunol., 6:381 405 (1988).
956840102	Williams et al., Antimicrob. Agents Chemother., 5:700 705 (1965).
956840103	Williams et al., Proc. Soc. Exp. Biol. Med., 120 (2):481 484 (1965).
956841128	Williams et al., (1980), Psychiatry, vol. 43, pp. 735-738.
956853162	Williams et al., Biochemical and Behavioural Studies of Monoamine Oxidase Inhibition, Ir.J. Med. Sci.147:71-74 (1978).
956861908	Williams & Peoples, Biodegradable plastics from plants, Chemtech 26:38-44 (1996).
956864616	Williams et al., Synthesis of Enantiomerically Pure Diethylenetriaminepentaacetic Acid Analogues. L Phenylalanine as the Educt for Substitution at the Central Acetic Acid, J. Org. Chem. 58:1151 1158 (1993).
956868850	Williams et al. (eds.), Hematology, 2d ed., McGraw Hill, NY (1977).
956873582	Williams et al., Restricted Heterogeneity of T Cell Receptor Transcripts in Rheumatoid Synovium, J. Clin. Invest., 1992, 90, 326-333.
956873651	Williams et al., Molecular Diagnosis of Borrelia burgdorferi Infection (Lyme Disease), DNA and Cell Biology, 1992, 11, 207-213.
956878440	Williams et al., Continuous infusion of nerve growth factor prevents basal forebrain neuronal death after fimbria fornix transection, Proc. Natl. Acad. Sci. USA, 1986, 83, 9231-9325.
956878441	Williams et al., Micropinocytic ingestion of glycosylated albumin by isolated microvessels: Possible role in pathogenesis of diabetic microangiopathy, Proc. Natl. Acad. Sci. USA, 1981, 78(4), 2393-2397.
956879128	Williams et al., Crystal Structure of Bi(OCMe2CH2OMe)3 and Its Use in the MOCVD of Bi2O3, Chemical Vapor Deposition 7(5): 205-209 (2001).
956882824	Williams et al., Minocycline: Possible Vestibular Side-Effects, Lancet. 2:744-746 (1974).
956886629	Williams et al,. 1989, J. Virology 63(1): 28 35.
956906001	Williams et al. (1987) Similarities in Sequences and Cellular Expression between Rat CD2 and CD4 Antigens , J. Exp. Med. 165:368 380.
956911315	Williams et al., Etch Rates for Micromachining Processing, Journal of Microelectromechanical Systems, vol. 5, No. 4, pp. 256-259 (Dec. 1996).
956914986	Williams et al., Restricted Heterogeneity of T Cell Receptor Transcripts in Rheumatoid Synovium, J. Clin. Invest., 1992, 90, 326-333.
956914987	Williams et al., Molecular Diagnosis of Borrelia Burgdorferi Infection (Lyme Disease), DNA and Cell. Biol., 1992, 11, 207-213.
956924233	Williams and Scanu, Uptake of endogenous cholesterol by a synthetic lipoprotein, Biochemica et Biophysica Acta 875:;183-194 (1986).
956924234	Williams et al., Intravenously Administered Lecithin Liposomes: A Synthetic Antiaatherogenic Lipid Particle, Perspect. Bio. Med. 27:417-431 (1984).
956924235	Williams et al., Low density lipoprotein receptor-independent hepatic uptake of a synthetic, cholesterol-scavenging lipoprotein: Implications for the treatment of receptor-deficient atherosclerosis, Proc. Natl. Acad. Sci. 85:242-246 (1988).
956927719	Williams et al., Cell, 36: 101 109 (1984).
956930032	Williams et al., Stress Induced Changes in Intestinal Transit in the Rat: A Model for Irritable Bowel Syndrome Gastroenterology 94:611 621 (1988).
956930033	Williams et al., Neuronal Nicotinic Acetylcholine Receptors Drug News & Perspectives 7(4):205 223 (1994).
956934201	Williams and Owen, Genetic abnormalities of chromosome 22 and the development of psychosis, Curr. Psych. Rep. 6(3):176-82 (2004).
956934202	Williams et al., Detailed analysis of PRODH and PsPRODH reveals no association with schizophrenia, Am. J. Med. Genet. 120B:42-6 (2003).
956936417	Williams et al., 1991, Fibronectin and VLA 4 in haematopoietic stem cell microenvironment interactions. Nature 352:438 441.
956938650	Williams et al Inhibitors of glycolic acid axidase. 4-Substituted-2,4-dioxobutanoic acid derivatives. (J. Med. Chem., 26(8), pp 1196-1200), 1983.*
956938988	Williams et al., Structure and Functional Expression of an Conotoxin Sensitive Human N Type Calcium Channel Science 257: 389 395 (1992).
956939531	Williams and Barclay, The Immunoglobulin Superfamily Domains for Cell Surface Recognition Ann. Rev. Innumol. 6:381 405, 1988.
956939943	Williams et al., A fast algorithm for active contours and curvature estimation, CVGIP: Image Understanding, vol. 55, No. 1, Jan., 1992, pp. 14-26.*
956944458	Williams et al., Effect of selective screening for gestational diabetes, Diabetes Care 22:418-421 (1999).
956948966	Williams et al., Nucleic Acids Research 16:10453 10467 (1988).
956954395	Williams et al., Biodegradable plastics from plants, Chemtech, 26:38-44 (1996).
956954431	Williams et al., Biodegradable plastics from plants, Chemtech, 26:38-44 (1996).
956961783	Williams et al., Absolute optical ranging with 200 nm resolution , Optics Letters, 14:542 544, 1989.
956970692	Williams et al., Male Sterility Through Recombinant DNA Technology. Pollen Biotechnology for Crop Production and Improvement, 1997, pp. 237-257, Cambridge University Press, US.
956973280	Williams et al., Biodegradable plastics from plants, Chemtech, 26:38-44 (1996).
956973599	Williams et al., Biodegradable plastics from plants, Chemtech, 26:38-44 (1996).
956975979	Williams et al. Dual Mode Canonical Waveguide Filters , IEEE Trans. on Microwave Theory and Techniques, vol. MTT 25, No. 12, Dec. 1977; pp. 1021 1026.
956980881	Williams et al. J. Nutrition. 1940. vol. 40, No. 3, pp. 251-262.
956988049	Williams et al., Sarafotoxin S6c: An agonist which distinguishes between endothelin receptor subtypes, Biochem. Biophys. Res. Commun. 175(2):556-561 (1991).
956993775	Williams et al. An HMM-Based Speech-to-Video Synthesizer, Jul. 2002, IEEE Transactions on Neural Networks, vol. 13, Issue 4, pp. 900-915.
956995886	Williams et al., Directional Coronary Atherectomy: But Wait, There's More, Circulation, 1998, vol. 97, pp. 309-311.
956996249	Williams et al., J. Amer. Chem. Soc., Vol. 82, 1958, pp. 4883-4888
956997214	Williams et al., Introduction to Organic Chemistry, 1927, pp. 155-157, 179-180, 220-221, 505-507 (1927).
957000821	Williams et al., The Panasonic and Quasar Hand Held Computers , Jan. 1981, pp. 34 45, Byte Publications, Inc.
957005927	Williams & Burks, Cisapride Increases Gastric Emptying Without Affecting Small or Large Bowel Transit, Proc. West. Pharmacol. Soc., 28:47 50 (1985).
957011402	Williams et al., Predistortion Techniques for Multicoupled Resonator Filters Transactions on Microwave Theory and Techniques, vol. MIT-33, No. 5, May 1985, pp. 402-407.
957012757	Williams et al., Apoptosis: Final Control Point in Cell Biology, Trends Cell Biol. 2:263-267 (1992).
957020556	Williams et al., Tamoxifen Inhibits Phorbol Ester Stimulated Osteoclastic Bone Resorption: An Effect Mediated by Calmodulin, Biochem. Cell Biol., 75:725-723 (2000). Abstract Only.
957023811	Williams et al., Adenosine Acts through a Novel Extracellular Receptor to Inhibit Granule Exocytosis by Natural Killer Cells, Biochemical and Biophysical Research Communications, 231: 264-269 (1997).
957034488	Williams et al., Preparation and Alcohol Oxidation Studies of the Ferrate(VI) Ion, FeO.sub.4.sup.-2 , Inorganica Chemica Acia., vol. 8, pp. 177-183, (1974).
957034900	Williams et al., Relative Fluorescence Quantum Yields Using a Computer-controlled Luminescence Spectrometer, 1983,Analyst,vol. 108. pp. 1067-1071.
957035260	Williams et al, J. Auton. Pharmacol., 10 (4):247, Aug. 1990.
957036640	Williams et al. (2002) Genome scans and microarrays: converging on genes for schizophrenia? Genome Biol. 3:1011.1-1011.5.
957044683	Williams et al., Paper No. 37 Advances in Welding Processes Third International Conf., Harrogate 1974, pp. 249 262.
957050593	Williams et al., Development of biologically active peptides based on antibody structure, Proc Natl Acad Sci ISA (1989) 86(14):5537-5541.
957050746	Williams et al., Molecular Regulation of Apoptosis: Genetic Controls on Cell Death , Cell, 74:777 779 (1993).
957051840	Williams et al., The Role of Cyclooxygenases in Inflammation, Cancer, and Development, Oncogene, vol. 18, 1999, pp. 7908-7916.
957056149	Williams et al., Passivity breakdown and pitting corrosion of binary alloys, 1991.
957067465	Williams et al., Etch Rates for Micromachining Processing, Journal of Microelectromechanical Systems, vol. 5, No. 4, pp. 256-259 (Dec. 1996).
957070532	Williams et al. (1991) J. Biol. Chem., vol. 266, No. 8, pp. 5182 5190.
957074382	Williams et al., Journal of Cellular Biochemistry 66:358-369 (1997) No Month.
957076382	Williams et al., Stereocontrolled Transformations of Orthoester Intermediates into Substituted Tetrahydrofurans, J. Am. Chem. Soc., 106(9),2641 2644(1984).
957078626	Williams et al., Silica: Surfaces to Interfaces, D. E. Leyden et al., Gordon & Brench publishers, 1986, p. 471 ff.
957083222	Williams et al., Structure and Functional Expression of an Conotoxin Sensitive Human N Type Calcium Channel , Science 257:389 395 (1992).
957087611	Williams & Burks, Cisapride Increases Gastric Emptying Without Affecting Small or Large Bowel Transit, Proc. West. Pharmacol. Soc. , 28:47 50 (1985).
957090937	Williams et al., 1990, DNA polymorphisms amplified by arbitrary primers are useful as genetic markers, Nucleic Acids Res. 18:6531-6535.
957092947	Williams and Smith, Molecular Regulation of Apoptosis: Genetic Controls on Cell Death, Cell 74: 777-779, 1993.
957099009	Williams et al., Neuronal Nicotinic Acetylcholine Receptors Drug News & Perspectives 7(4):205 223 (1994).
957099010	Williams et al., Stress Induced Changes in Intestinal Transit in the Rat: A Model for Irritable Bowel Syndrome Gastroenterology 94:611 621 (1988).
957115224	Williams et al., Proc. Natl. Acad. Sci., 88:5533-5536, 1991.
957131868	Williams et al U.S. 5372803 (Dec. 13, 1994) GA. 122:89159 p. 29 L117 2 of 91.
957139067	Williams et al., Journal of Polymer Science, Polymer Letters (1968) p. 621, vol. 6.
957139077	Williams et al., Journal of Polymer Science, Polymer Letters, (1968), p. 621, vol. 6.
957139655	Williams et al., The Immunoglobulin Superfamily Domains for Cell Surface Recognition, App. Rev. Immunol. 5:381 405 (1988).
957139661	Williams et al., A Year in the Life of the Immunoglobulin Superfamily, Immunology Today 8:298 304 (1987).
957139747	Williams et al., Compressing Integers for Fast File Access, The Computer Journal, vol. 42, No. 3, pp. 193-201, 1999.
957143437	Williams et al., 1996, J. Comp. Neurol. 370: 147-158.
957143590	Williams et al., paper, SICOLS Conference Proceedings (1983).
957149880	Williams et al. (1983) Eur. J. Biochem., 131: 437-445.
957154549	Williams et al., 1996, J. Comp. Neurol. 370: 147-158.
957154911	Williams et al., Mol. Cell Biol. 8:3864, 1988.
957154925	Williams et al., Blood 75:1132, 1990.
957161632	Williams et al., International Journal of Pharmaceutics, vol. 57, R7-R9 (1989).
957169501	Williams et al., Bounds and Analysis of Aliasing Errors in Linear Feedback Shift Registers , IEEE Transaction on computer Aided Design, vol. 7, No. 1, pp. 75 83. Jan. 1988.
957172382	Williams et al., Design and Performance Characteristics of a Positron Emission Computed Axial Tomograph . . . ECAT II , IEEE Trans. Nucl. Sci., NS 26, No. 1, 619 627, 1979.
957173502	Williams and Ward, Journal of Polymer Science: Polymer Letters , vol. 6, The Construction of a Calibration Curve for Gel Permeation Chromatography using Polystyrene Fractions , pp. 621 627, (1968).
957180117	Williams et al., Plant Physiol., 64, 1099-1103 (1979).
957183129	Williams et al., 1996, J. Comp. Neurol. 370: 147-158.
957198928	Williams et al., Further studies on the development of a live attenuated vaccine against turkey rhinotracheitis, Avian Pathology, 119, 20:585-596.
957202194	Williams et al, Structure and Functional Expression of Alpha1, Alpha2, and Beta Subunits of a Novel Human Neuronal Calcium Channel Subtype, Jan. 1992, Neuron, vol. 8, pp. 71-64.
957203602	Williams et al., Neuronal Cell Thy-1 Glycoprotein: Homoly with Immunoglobulin, Science, 216:696-703 (1982).
957203904	Williams Ashman et al; Biochem. Biophys. Res. Commun. 46,288 (1972) Methyl Glyoxal Bis(guanylhydrazone) as a Potent Inhibitor of Mammalian and Yeast S adenosylmethionine Decarboxylases.
957204138	Williams et al., Myeloid leukemia inhibitory factor maintains the development potential of embryonic stem cell , Nature 336:684 687; 1988.
957211617	Williams et al. (1988) Myeloid Leukaemia Inhibitory Factor Maintains the Developmental Potential of Embryonic Stem Cells Nature 366, 684 687.
957215773	Williams et al., The development, efficacy, and epidemiological aspects of Paracox, a new coccidiosis vaccine for chickens, Pitman-Moore Europe Monograph, Reprinted 1994 by Mallinckrodt Veterinary Ltd., pp. 1-16.
957220152	Williams et al., N-Acetyltransferases, sulfotransferases and heterocyclic amine activation in the breast, Pharmocogenetics, 2001, 11:373-388.
957220164	Williams and Comstock, An Analytical Model of the Write Process in Digital Magnetic Recording , 17th Annual AIP Conf. Proc., Part I, No. 5, 1971, pp. 738 742.
957227900	Williams et al., Formation of a Multilayer Cellular Lining on a Polyurethane Vascular Graft Following Endothelial Cell Sodding, J. Biomed. Materials Res. 26:103-117, 1992.
957227901	Williams et al., Adult Human Endothelial Cell Compatibility with Prosthetic Graft Material, J. Surg. Res. 38:618-629, 1985.
957227902	Williams et al., Endothelial Cell Transplantion onto Polymeric Arteriovenous Grafts Evaluated Using a Canine Model, J. Invest. Surg. 7:503-517, 1994.
957227903	Williams et al., Human Microvessel Endothelial Cell Isolation and Vascular Graft Sodding in the Operating Room, Annals Vasc. Surg. 3:146-152, 1989.
957227904	Williams et al., Origin of Endothelial Cells That Line Expanded Polytetrafluoroethylene Vascular Grafts Sodded with Cells from Microvascularized Fat, J. Vasc. Surg. 19:594-604, 1994.
957227905	Williams et al., Microvascular Endothelial Cell Sodding of ePTFE Vascular Grafts: Improved Patency and Stability of the Cellular Lining, J. Biomed. Materials Res. 28:203-212, 1994.
957227906	Williams et al., Formation of a Functional Endothelium on Vascular Grafts, J. Electron Microscopy 19:439-451, 1991.
